actuals,distances,time_taken,cpu_memory_usage,ram_usage
1,0.10808002948760986,0.9068069458007812,24.8,152.09375
0,0.7016313076019287,0.31879186630249023,90.9,44.734375
1,0.0019405484199523926,0.3009819984436035,90.5,11.375
1,0.5871461033821106,0.3309357166290283,90.9,15.75
0,0.38818007707595825,0.30118703842163086,90.1,4.421875
1,0.014640629291534424,0.3173680305480957,92.6,-9.46875
0,0.20667707920074463,0.35950493812561035,93.0,-34.328125
1,0.17978256940841675,0.29995203018188477,92.4,-9.640625
1,0.014374136924743652,0.3303408622741699,93.6,-11.6875
0,0.3265773057937622,0.3935050964355469,97.7,-176.703125
1,0.28403037786483765,0.35294675827026367,0.0,24.75
1,0.5094643533229828,0.4076509475708008,96.4,-97.09375
0,0.5050586462020874,0.5303771495819092,94.0,201.46875
0,0.5554080307483673,0.3487379550933838,96.0,13.25
0,0.2741011381149292,0.33649611473083496,92.9,11.421875
0,0.3566725254058838,0.3580448627471924,89.7,2.375
1,0.007184445858001709,0.3318469524383545,95.5,13.28125
0,0.5716761946678162,0.33679628372192383,93.3,7.25
1,0.573987752199173,0.3368840217590332,93.7,14.53125
0,0.10905611515045166,0.3165459632873535,92.4,1.09375
1,0.02050107717514038,0.37552475929260254,92.6,-61.0625
0,0.3492352366447449,0.328948974609375,91.2,34.015625
0,0.14983052015304565,0.35079503059387207,95.0,-7.90625
1,0.10055327415466309,0.32321715354919434,92.3,5.96875
0,0.19822633266448975,0.36298418045043945,94.4,-2.578125
0,0.32481086254119873,0.31867003440856934,93.7,1.515625
1,0.05936223268508911,0.3300209045410156,93.5,17.15625
0,0.6066030561923981,0.3067901134490967,92.3,10.28125
1,0.016619980335235596,0.36464476585388184,93.8,-59.609375
1,0.30970537662506104,0.3113541603088379,90.7,8.9375
0,0.39224696159362793,0.320667028427124,93.1,14.78125
0,0.5512780249118805,0.3135201930999756,91.2,5.578125
1,0.23502516746520996,0.3112010955810547,91.3,3.28125
1,0.010491788387298584,0.3136022090911865,89.2,0.296875
0,0.4066718816757202,0.3162398338317871,89.7,0.109375
1,0.029802799224853516,0.30690789222717285,89.1,3.703125
0,0.6007966697216034,0.32975006103515625,92.1,2.1875
1,0.4550016522407532,0.3095529079437256,89.1,0.3125
1,0.009847819805145264,0.34360814094543457,92.8,2.0625
0,0.5223149955272675,0.3195326328277588,89.5,2.421875
1,0.2887013554573059,0.37052321434020996,96.3,-248.984375
0,0.38316231966018677,0.35441088676452637,94.5,9.796875
1,0.011363089084625244,0.3382539749145508,99.3,15.046875
1,0.0281369686126709,0.3561270236968994,93.9,-52.375
1,0.03601032495498657,0.3770170211791992,92.7,6.53125
1,0.2446284294128418,0.36151862144470215,96.2,23.40625
1,0.00524979829788208,0.3046870231628418,89.3,15.71875
0,0.13245058059692383,0.35222697257995605,88.7,7.578125
1,0.41649240255355835,0.31631898880004883,90.4,1.65625
0,0.802243709564209,0.3427729606628418,90.5,4.140625
0,0.7212151288986206,0.450145959854126,91.2,245.71875
0,0.8261855393648148,0.3236391544342041,89.8,0.59375
0,0.5463877022266388,0.3238189220428467,0.0,2.171875
0,0.38013482093811035,0.29929494857788086,0.0,3.625
1,0.08685457706451416,0.31336307525634766,89.4,4.125
1,0.12715494632720947,0.32049989700317383,89.4,4.03125
1,0.3698834776878357,0.3220038414001465,89.6,4.375
0,0.3479176163673401,0.30623698234558105,89.6,3.515625
0,0.2707046866416931,0.32559895515441895,91.9,4.40625
1,0.11892664432525635,0.3418400287628174,91.2,6.953125
1,0.016312241554260254,0.318026065826416,0.0,0.03125
0,0.4142831563949585,0.3408470153808594,89.8,0.375
1,0.09726393222808838,0.3296189308166504,89.1,0.09375
1,0.0077689290046691895,0.30909204483032227,89.2,0.0
1,0.010039985179901123,0.3327920436859131,89.8,0.0
1,0.06886202096939087,0.33112597465515137,89.2,0.265625
0,0.2730652689933777,0.32311511039733887,91.5,0.328125
1,0.17908889055252075,0.32239580154418945,90.0,1.15625
0,0.29777979850769043,0.31786489486694336,90.5,0.0625
1,0.03729534149169922,0.3560371398925781,92.5,-72.015625
1,0.2637644410133362,0.48253607749938965,97.9,-36.8125
0,0.2886539697647095,0.46048998832702637,98.6,20.5
0,0.7438592612743378,0.374514102935791,92.8,-150.28125
0,0.48104244470596313,0.3617269992828369,97.9,0.6875
1,0.33734768629074097,0.3553910255432129,91.8,-71.0
0,0.2727450728416443,0.32531094551086426,90.7,-20.8125
1,0.11766624450683594,0.35399913787841797,93.5,-15.234375
0,0.5882493257522583,0.3172779083251953,90.2,17.578125
0,0.40502119064331055,0.3490869998931885,94.3,18.234375
1,0.0199124813079834,0.31104421615600586,88.9,8.765625
0,0.05397617816925049,0.3027019500732422,89.3,7.53125
0,0.2302091121673584,0.31749391555786133,89.5,0.015625
1,0.0032973289489746094,0.31274914741516113,89.4,3.046875
0,0.5523887276649475,0.32056713104248047,89.6,10.140625
1,0.017143070697784424,0.31512975692749023,0.0,1.34375
0,0.24900519847869873,0.34186530113220215,0.0,7.1875
1,0.00497359037399292,0.3263530731201172,90.6,0.03125
1,0.11040258407592773,0.5185568332672119,92.3,223.796875
1,0.013216793537139893,0.3133671283721924,90.0,-13.40625
1,0.019499540328979492,0.31047487258911133,90.5,-14.921875
0,0.2875604033470154,0.3207399845123291,92.2,6.21875
0,0.23340433835983276,0.3265650272369385,90.5,9.609375
1,0.006246685981750488,0.3167741298675537,90.9,-11.984375
1,0.0283164381980896,0.32121801376342773,89.5,11.03125
1,0.45277613401412964,0.3225119113922119,89.7,19.1875
1,0.11221015453338623,0.33207011222839355,89.4,1.9375
0,0.008396387100219727,0.31567907333374023,92.2,10.75
1,0.017778217792510986,0.3280680179595947,90.4,1.015625
1,0.008022964000701904,0.33247804641723633,91.7,-3.84375
1,0.15776151418685913,0.3682429790496826,0.0,-4.84375
1,0.10980314016342163,0.3601341247558594,94.7,-59.625
1,0.26125991344451904,0.3583719730377197,99.3,-2.78125
1,0.018320918083190918,0.40401411056518555,99.7,11.265625
0,0.03346174955368042,0.3485560417175293,92.9,-9.6875
0,0.017589867115020752,0.3318750858306885,92.0,-6.6875
1,0.13969534635543823,0.3803131580352783,97.4,10.328125
1,0.12215185165405273,0.33536839485168457,90.6,15.796875
1,0.0260048508644104,0.3628120422363281,87.8,-67.65625
0,0.2577740550041199,0.31417393684387207,90.3,46.828125
0,0.5511611998081207,0.3233768939971924,88.8,9.4375
1,0.03076726198196411,0.315396785736084,89.4,6.34375
0,0.19531691074371338,0.32303810119628906,90.0,1.03125
0,0.42552119493484497,0.31999993324279785,89.5,12.109375
1,0.0199892520904541,0.32099294662475586,89.5,0.015625
1,0.1865188479423523,0.3205912113189697,90.0,1.0
1,0.1726652979850769,0.3299367427825928,0.0,1.875
1,0.01454085111618042,0.31521105766296387,0.0,0.421875
1,0.019926071166992188,0.3308289051055908,89.9,6.09375
1,0.004120588302612305,0.3584010601043701,90.2,4.078125
1,0.0038191676139831543,0.30945801734924316,90.3,5.921875
0,0.2847585678100586,0.31796979904174805,91.4,0.453125
0,0.19376009702682495,0.327455997467041,89.4,0.0
1,0.0063089728355407715,0.3264491558074951,89.3,5.875
